miRNA,gene
hsa-miR-206_st,ZNF800
hsa-miR-206_st,ZNF827
hsa-miR-206_st,ZXDB
hsa-miR-206_st,ZZZ3
hsa-miR-206_st,C2orf69
hsa-miR-206_st,C3orf14
hsa-miR-206_st,C5orf51
hsa-miR-206_st,CALM2
hsa-miR-206_st,CAND1
hsa-miR-206_st,CASK
hsa-miR-211_st,CCDC120
hsa-miR-211_st,CCPG1
hsa-miR-211_st,CHN2
hsa-miR-211_st,CIAO1
hsa-miR-211_st,CSE1L
hsa-miR-211_st,CUL4B
hsa-miR-211_st,DCAF16
hsa-miR-211_st,DDRGK1
hsa-miR-211_st,DEDD2
hsa-miR-211_st,DRAP1
hsa-miR-211_st,DUSP19
hsa-miR-211_st,DUSP6
hsa-miR-211_st,EIF4EBP2
hsa-miR-211_st,EXOC6B
hsa-miR-211_st,FAM76A
hsa-miR-211_st,FOXC1
hsa-miR-211_st,GDE1
hsa-miR-211_st,GPBP1L1
hsa-miR-211_st,GRAMD4
hsa-miR-211_st,GSTM3
hsa-miR-211_st,HHEX
hsa-miR-211_st,HMX1
hsa-miR-211_st,INPP4A
hsa-miR-211_st,KCNA3
hsa-miR-211_st,KLHL11
hsa-miR-211_st,LSM5
hsa-miR-211_st,MAP1LC3B
hsa-miR-211_st,MBTPS2
hsa-miR-211_st,MCTS1
hsa-miR-211_st,MMGT1
hsa-miR-211_st,MORC4
hsa-miR-211_st,MTMR7
hsa-miR-211_st,NKRF
hsa-miR-211_st,P2RX7
hsa-miR-211_st,PDE4A
hsa-miR-211_st,PGAM5
hsa-miR-211_st,POLA1
hsa-miR-211_st,POLI
hsa-miR-211_st,POMT1
hsa-miR-211_st,PPP1CC
hsa-miR-211_st,PREB
hsa-miR-211_st,ATP2B1
hsa-miR-211_st,PUM2
hsa-miR-211_st,RBM28
hsa-miR-211_st,RHOBTB3
hsa-miR-211_st,B3GNT1
hsa-miR-211_st,SEC61A2
hsa-miR-211_st,BCAP29
hsa-miR-211_st,SLC39A11
hsa-miR-211_st,SPCS1
hsa-miR-211_st,SYNJ2BP
hsa-miR-211_st,BNIP2
hsa-miR-211_st,TMBIM6
hsa-miR-211_st,TMEM164
hsa-miR-211_st,TMEM41A
hsa-miR-211_st,TMOD3
hsa-miR-211_st,TPRG1L
hsa-miR-211_st,ACSL4
hsa-miR-211_st,UBXN2A
hsa-miR-211_st,UFD1L
hsa-miR-211_st,WWC3
hsa-miR-211_st,YARS
hsa-miR-211_st,ZBTB8B
hsa-miR-211_st,ZNF638
hsa-miR-211_st,CAMK2D
hsa-miR-212_st,KCNK2
hsa-miR-215_st,CDC6
hsa-miR-215_st,CTH
hsa-miR-215_st,DNAJC19
hsa-miR-215_st,DPP10
hsa-miR-215_st,ELP4
hsa-miR-215_st,FUNDC2
hsa-miR-215_st,GLP1R
hsa-miR-215_st,B3GALNT2
hsa-miR-215_st,SLC39A8
hsa-miR-217_st,ITGBL1
hsa-miR-217_st,ATP10A
hsa-miR-219-5p_st,CLASP1
hsa-miR-219-5p_st,CPNE3
hsa-miR-219-5p_st,EIF3J
hsa-miR-219-5p_st,ETV5
hsa-miR-219-5p_st,FURIN
hsa-miR-219-5p_st,GBA2
